==1750== NVPROF is profiling process 1750, command: python resnet.py resnet10
==1750== Profiling application: python resnet.py resnet10
==1750== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
2.44006s     928ns                    -               -         -         -         -  1.0000KB  1.0277GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44007s     992ns                    -               -         -         -         -  1.0000KB  984.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44056s  912.90us                    -               -         -         -         -  4.5000MB  4.8138GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44148s  1.3440us                    -               -         -         -         -  2.0000KB  1.4192GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44149s  1.1200us                    -               -         -         -         -  2.0000KB  1.7030GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44151s  1.2160us                    -               -         -         -         -  2.0000KB  1.5685GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44152s  1.1520us                    -               -         -         -         -  2.0000KB  1.6557GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44210s  1.8147ms                    -               -         -         -         -  9.0000MB  4.8434GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44393s  1.3760us                    -               -         -         -         -  2.0000KB  1.3862GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44394s  1.1200us                    -               -         -         -         -  2.0000KB  1.7030GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44395s  1.1200us                    -               -         -         -         -  2.0000KB  1.7030GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44397s  1.1200us                    -               -         -         -         -  2.0000KB  1.7030GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44443s  82.848us                    -               -         -         -         -  512.00KB  5.8937GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44452s  1.2160us                    -               -         -         -         -  2.0000KB  1.5685GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44453s  1.1520us                    -               -         -         -         -  2.0000KB  1.6557GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44455s  1.1520us                    -               -         -         -         -  2.0000KB  1.6557GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44456s  1.1200us                    -               -         -         -         -  2.0000KB  1.7030GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44512s  337.60us                    -               -         -         -         -  1.9531MB  5.6497GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44546s  1.5360us                    -               -         -         -         -  3.9063KB  2.4253GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.86078s  1.4720us                    -               -         -         -         -      112B  72.562MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.86158s  94.016us             (25 1 1)       (512 1 1)        29        0B        0B         -           -   Tesla K40c (0)         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [608]
2.86167s  263.14us            (196 1 1)       (16 16 1)        79  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_sgemm_sm35_ldg_nn_64x16x64x16x16 [629]
2.86194s  48.192us             (64 1 1)       (512 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [662]
2.86332s  33.793us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [673]
2.86397s  73.312us            (196 1 1)      (1024 1 1)        31        0B        0B         -           -   Tesla K40c (0)         1         7  void MaxPoolForward<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*) [715]
2.86449s  244.67us             (98 2 1)         (8 8 1)        63  2.2500KB        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::implicit_convolve_sgemm<float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int, int) [747]
2.86493s  15.616us             (64 1 1)       (512 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [780]
2.86498s  6.1440us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [791]
2.86506s  245.73us             (98 2 1)         (8 8 1)        63  2.2500KB        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::implicit_convolve_sgemm<float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int, int) [822]
2.86531s  12.608us             (64 1 1)       (512 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [854]
2.86533s  12.800us             (60 1 1)       (512 1 1)        10        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=-2, int=-2>(TensorInfo<TensorAddOp<float>, float>, TensorInfo<float, float>, float, float) [866]
2.86536s  5.8560us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [878]
2.86537s  2.3680us             (64 1 1)         (9 1 1)        19        0B        0B         -           -   Tesla K40c (0)         1         7  void kern_precompute_indices<bool=0>(int*, int, int, int, int, int, int) [904]
2.86537s  186.94us              (1 4 1)         (8 8 1)       104  2.2500KB        0B         -           -   Tesla K40c (0)         1        13  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int, int) [944]
2.86538s  189.25us              (1 4 1)         (8 8 1)       104  2.2500KB        0B         -           -   Tesla K40c (0)         1        15  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int, int) [965]
2.86538s  149.44us             (23 4 1)         (8 8 1)        68  4.5195KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_precomputed_sgemm_sm35_ldg_nn_32x16x32x8x8 [923]
2.86557s  10.048us            (128 1 1)       (256 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1005]
2.86558s  4.1280us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [1016]
2.86559s  163.10us              (2 5 1)       (512 1 1)        29        0B        0B         -           -   Tesla K40c (0)         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1036]
2.86576s  191.84us             (13 2 1)       (16 16 1)        79  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_sgemm_sm35_ldg_nn_64x16x64x16x16 [1057]
2.86595s  8.3840us            (128 1 1)       (256 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1090]
2.86596s  2.3360us             (64 1 1)         (1 1 1)        19        0B        0B         -           -   Tesla K40c (0)         1         7  void kern_precompute_indices<bool=0>(int*, int, int, int, int, int, int) [1110]
2.86597s  28.641us             (25 4 1)         (8 8 1)       102  2.2500KB        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::precomputed_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1>(int, int, int, float const *, int, cudnn::detail::precomputed_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int*) [1129]
2.86600s  7.8720us            (128 1 1)       (256 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1161]
2.86601s  6.1760us             (60 1 1)       (512 1 1)        10        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=-2, int=-2>(TensorInfo<TensorAddOp<float>, float>, TensorInfo<float, float>, float, float) [1173]
2.86602s  4.1600us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [1185]
2.86603s  216.19us              (7 8 1)         (8 8 1)       104  2.2500KB        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int, int) [1216]
2.86625s  8.8320us            (256 1 1)        (64 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1248]
2.86626s  3.4560us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [1259]
2.86626s  160.67us             (1 10 1)       (512 1 1)        29        0B        0B         -           -   Tesla K40c (0)         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1279]
2.86643s  310.50us              (7 4 1)        (8 16 1)        83  6.2695KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_sgemm_sm35_ldg_nn_32x16x64x8x16 [1300]
2.86674s  8.1280us            (256 1 1)        (64 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1333]
2.86675s  2.5280us            (128 1 1)         (1 1 1)        19        0B        0B         -           -   Tesla K40c (0)         1         7  void kern_precompute_indices<bool=0>(int*, int, int, int, int, int, int) [1353]
2.86676s  38.368us              (7 8 1)         (8 8 1)        68  4.5195KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_precomputed_sgemm_sm35_ldg_nn_32x16x32x8x8 [1372]
2.86680s  7.3280us            (256 1 1)        (64 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1404]
2.86681s  3.9360us             (60 1 1)       (512 1 1)        10        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=-2, int=-2>(TensorInfo<TensorAddOp<float>, float>, TensorInfo<float, float>, float, float) [1416]
2.86682s  3.3920us             (60 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [1428]
2.86682s  167.68us             (1 10 1)       (512 1 1)        29        0B        0B         -           -   Tesla K40c (0)         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1448]
2.86700s  247.36us              (1 8 1)       (16 16 1)        79  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_sgemm_sm35_ldg_nn_64x16x64x16x16 [1469]
2.86725s  5.9520us            (512 1 1)        (64 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1502]
2.86726s  2.4320us             (49 1 1)       (512 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [1513]
2.86726s  157.79us             (1 19 1)       (512 1 1)        29        0B        0B         -           -   Tesla K40c (0)         1         7  void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [1533]
2.86742s  474.75us              (1 8 1)       (16 16 1)        79  8.2695KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_sgemm_sm35_ldg_nn_64x16x64x16x16 [1554]
2.86790s  6.0160us            (512 1 1)        (64 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1587]
2.86791s  3.1360us            (256 1 1)         (1 1 1)        19        0B        0B         -           -   Tesla K40c (0)         1         7  void kern_precompute_indices<bool=0>(int*, int, int, int, int, int, int) [1607]
2.86791s  81.792us              (1 4 1)        (8 32 1)        79  12.520KB        0B         -           -   Tesla K40c (0)         1         7  cudnn_convolve_precomputed_sgemm_sm35_ldg_nn_64x16x128x8x32 [1626]
2.86800s  5.8240us            (512 1 1)        (64 1 1)        18        0B        0B         -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [1658]
